STID,Wind Sensor Height (m),Provider,Start Time,End Time,obs_time,obs_time_years
BRKO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,2000-12-04T00:00:00Z,2025-04-04T20:30:00Z,8887 days 20:30:00,24.333618526123658
CEDC,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
CHVO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
CRVO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
DEFO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
FOGO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
GOLW,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
HOXO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
HRHW,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
AKFLO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,2000-12-04T00:00:00Z,2025-04-04T21:00:00Z,8887 days 21:00:00,24.333675564681723
LAKO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MASW,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MDFO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MRSO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:30:00Z,9250 days 21:30:00,25.327572438968744
PARO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
PNGO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
POBO,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
FG022,5.0,"Utah Fruit Growers, Utah Climate Center",2000-01-23T00:00:00Z,2025-04-04T22:00:00Z,9203 days 22:00:00,25.1989504905316
FG021,5.0,"Utah Fruit Growers, Utah Climate Center",2000-01-23T00:00:00Z,2025-04-04T21:40:00Z,9203 days 21:40:00,25.198912464826222
NWRU1,6.1,"Bureau of Land Management, USDA Forest Service",1998-07-28T00:00:00Z,2025-04-04T22:04:00Z,9747 days 22:04:00,26.68834892387254
QBHA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QBRA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:50:00Z,9747 days 21:50:00,26.688322305878774
QBAA3,6.1,"Bureau of Land Management, National Park Service",1999-08-06T00:00:00Z,2025-04-04T21:07:00Z,9373 days 21:07:00,25.664284356224808
QBMA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:33:00Z,9747 days 21:33:00,26.688289984029204
CHEA3,6.1,"Bureau of Land Management, USDA Forest Service",1998-07-29T00:00:00Z,2025-04-04T21:11:00Z,9746 days 21:11:00,26.685510304966158
QCGA3,6.1,"Bureau of Land Management, USDA Forest Service",1998-07-28T00:00:00Z,2025-04-04T22:02:00Z,9747 days 22:02:00,26.688345121302
QCKA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T21:27:00Z,10320 days 21:27:00,28.257067077344285
QDLA3,6.1,"Bureau of Land Management, Bureau of Indian Affairs Pine Ridge Agency",1997-01-01T00:00:00Z,2025-04-04T21:27:00Z,10320 days 21:27:00,28.257067077344285
QDPA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-07-31T00:00:00Z,2025-04-04T21:38:00Z,10109 days 21:38:00,27.67940147539737
QEMA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QFSA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:19:00Z,9747 days 21:19:00,26.68826336603544
QGDA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:20:00Z,10320 days 21:20:00,28.257053768347404
QGRA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T21:35:00Z,10320 days 21:35:00,28.257082287626435
QGSA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:34:00Z,10320 days 21:34:00,28.257080386341165
QGTA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T22:03:00Z,10320 days 22:03:00,28.257135523613965
QHAA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:52:00Z,9747 days 21:52:00,26.68832610844931
QCHA3,6.1,"Bureau of Land Management, National Park Service",1998-07-28T00:00:00Z,2025-04-04T21:37:00Z,9747 days 21:37:00,26.68829758917028
QHRA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T22:02:00Z,9747 days 22:02:00,26.688345121302
QHBA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:48:00Z,9747 days 21:48:00,26.688318503308235
QHUA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:34:00Z,9747 days 21:34:00,26.688291885314474
QLCA3,6.1,"Bureau of Land Management, Bureau of Indian Affairs Pine Ridge Agency",1997-01-01T00:00:00Z,2025-04-04T21:24:00Z,10320 days 21:24:00,28.25706137348848
QLBA3,6.1,"Bureau of Land Management, National Park Service",1999-08-06T00:00:00Z,2025-04-04T21:08:00Z,9373 days 21:08:00,25.664286257510078
QMBA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:23:00Z,10320 days 21:23:00,28.25705947220321
QMLA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:33:00Z,9747 days 21:33:00,26.688289984029204
QMRA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T22:03:00Z,10320 days 22:03:00,28.257135523613965
QMMA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:52:00Z,9747 days 21:52:00,26.68832610844931
QOCA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T22:03:00Z,10320 days 22:03:00,28.257135523613965
QOKA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:33:00Z,10320 days 21:33:00,28.2570784850559
QPPA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T22:00:00Z,9747 days 22:00:00,26.688341318731464
QPAA3,6.1,"Bureau of Land Management, USDA Forest Service",1998-07-28T00:00:00Z,2025-04-04T21:11:00Z,9747 days 21:11:00,26.68824815575329
QPVA3,6.1,"Bureau of Land Management, USDA Forest Service",1998-07-29T00:00:00Z,2025-04-04T22:00:00Z,9746 days 22:00:00,26.68560346794433
QPRA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T21:49:00Z,10320 days 21:49:00,28.2571089056202
QHVA3,6.1,"Bureau of Land Management, National Park Service",1997-01-01T00:00:00Z,2025-04-04T21:37:00Z,10320 days 21:37:00,28.257086090196974
TTBA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T22:02:00Z,10320 days 22:02:00,28.257133622328695
QSBA3,6.1,"Bureau of Land Management, Dept of Interior Fish & Wildlife Service",1997-01-01T00:00:00Z,2025-04-04T21:05:00Z,10320 days 21:05:00,28.25702524906837
QHQA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QSTA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T22:01:00Z,10320 days 22:01:00,28.257131721043425
QSPA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:53:00Z,10320 days 21:53:00,28.257116510761275
QTCA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T21:35:00Z,10320 days 21:35:00,28.257082287626435
QTWA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:33:00Z,10320 days 21:33:00,28.2570784850559
QUPA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1998-07-28T00:00:00Z,2025-04-04T21:52:00Z,9747 days 21:52:00,26.68832610844931
QVDA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T22:05:00Z,10320 days 22:05:00,28.2571393261845
QWSA3,6.1,"Bureau of Land Management, USDA Forest Service",1997-01-01T00:00:00Z,2025-04-04T21:47:00Z,10320 days 21:47:00,28.25710510304966
QYJA3,6.1,"Bureau of Land Management, National Interagency Fire Center",1997-01-01T00:00:00Z,2025-04-04T21:50:00Z,10320 days 21:50:00,28.25711080690547
ATNC1,6.1,"Bureau of Land Management, Los Angeles Fire Department",1999-12-02T00:00:00Z,2025-04-04T21:54:00Z,9255 days 21:54:00,25.341307323750854
ALDC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
ECKC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:24:00Z,9255 days 21:24:00,25.34125028519279
NZAC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-10-13T00:00:00Z,2025-04-04T21:54:00Z,9305 days 21:54:00,25.47819986310746
ARGC1,6.1,"Bureau of Land Management, California Department of Forestry",2000-06-23T00:00:00Z,2025-04-04T21:54:00Z,9051 days 21:54:00,24.782785763175905
ASRC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T22:04:00Z,9255 days 22:04:00,25.341326336603544
MCCC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
BDMC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:36:00Z,9255 days 21:36:00,25.341273100616018
BNGC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
BBEC1,6.1,"Bureau of Land Management, National Park Service",1999-12-02T00:00:00Z,2025-04-04T21:11:00Z,9255 days 21:11:00,25.341225568484294
BPKC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:10:00Z,9255 days 21:10:00,25.341223667199028
COKC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:17:00Z,9255 days 21:17:00,25.34123697619591
CAPC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:51:00Z,9255 days 21:51:00,25.34130161989505
BENC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:59:00Z,9255 days 21:59:00,25.3413168301772
BNDC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:50:00Z,9255 days 21:50:00,25.34129971860978
BETC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
BVRC1,6.1,"Bureau of Land Management, Los Angeles Fire Department",1999-12-02T00:00:00Z,2025-04-04T21:55:00Z,9255 days 21:55:00,25.341309225036124
BGBC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:20:00Z,9255 days 21:20:00,25.341242680051714
PIBC1,6.1,"Bureau of Land Management, East Bay Regional Park District",1999-12-02T00:00:00Z,2025-04-04T21:28:00Z,9255 days 21:28:00,25.341257890333864
BDOC1,6.1,"Bureau of Land Management, National Interagency Fire Center",1999-12-02T00:00:00Z,2025-04-04T21:59:00Z,9255 days 21:59:00,25.3413168301772
BOGC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T22:00:00Z,9255 days 22:00:00,25.34131873146247
BNVC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:50:00Z,9255 days 21:50:00,25.34129971860978
BRHC1,6.1,"Bureau of Land Management, USDA Forest Service",1999-12-02T00:00:00Z,2025-04-04T21:35:00Z,9255 days 21:35:00,25.34127119933075
BZRC1,6.1,"Bureau of Land Management, California Department of Forestry",1999-12-02T00:00:00Z,2025-04-04T21:54:00Z,9255 days 21:54:00,25.341307323750854
PLEC1,6.1,"Bureau of Land Management, East Bay Regional Park District",1999-12-02T00:00:00Z,2025-04-04T21:28:00Z,9255 days 21:28:00,25.341257890333864
