STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
TWRN5,TOWER,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.778990,-106.266110,2001-06-28T00:00:00Z,2025-04-04T21:08:00Z,8681 days 21:08:00,23.769693512814662
GRSN5,GRANTS,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.242780,-107.665280,2001-11-09T00:00:00Z,2025-04-04T21:16:00Z,8547 days 21:16:00,23.402836717621113
JESN5,JEMEZ,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.841140,-106.619690,2001-10-25T00:00:00Z,2025-04-04T21:08:00Z,8562 days 21:08:00,23.44388926914594
MAYN5,MAYHILL,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.909470,-105.469810,2001-11-09T00:00:00Z,2025-04-04T22:01:00Z,8547 days 22:01:00,23.40292227545821
MTNN5,MOUNTAINAIR,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.520560,-106.261670,2001-10-24T00:00:00Z,2025-04-04T21:05:00Z,8563 days 21:05:00,23.446621416077267
TRUN5,TRUCHAS,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.058890,-105.769440,2001-10-25T00:00:00Z,2025-04-04T21:11:00Z,8562 days 21:11:00,23.44389497300175
JARN5,JARITA MESA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.555830,-106.103060,2002-09-21T00:00:00Z,2025-04-04T21:16:00Z,8231 days 21:16:00,22.53767586888737
TR724,ROSWELL #1 PORTABLE,NM,RAWS,Interagency Remote Automatic Weather Stations,2.0,33.499690,-103.918190,2003-06-13T00:00:00Z,2025-04-04T21:40:00Z,7966 days 21:40:00,21.812191041143812
ADRN5,ADAMS RANCH #1,NM,SCAN,Soil Climate Analysis Network,3.05,34.25,-105.41667,2004-05-21T00:00:00Z,2025-04-04T21:00:00Z,7623 days 21:00:00,20.87303216974675
TR931,ROSWELL #2 PORTABLE,NM,RAWS,Interagency Remote Automatic Weather Stations,2.0,34.149440,-105.005970,2003-08-19T00:00:00Z,2025-04-04T21:20:00Z,7899 days 21:20:00,21.628717012700587
BLWN5,BLUEWATER RIDGE,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.194170,-108.163060,2003-07-02T00:00:00Z,2025-04-04T21:05:00Z,7947 days 21:05:00,21.760105331203892
CIMN5,CIMARRON,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.606110,-105.120280,2003-06-19T00:00:00Z,2025-04-04T21:09:00Z,7960 days 21:09:00,21.795704996577687
DTLN5,DATIL,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.2925,-107.768060,2003-09-04T00:00:00Z,2025-04-04T21:11:00Z,7883 days 21:11:00,21.58489428853905
ZNRN5,ZUNI BUTTES,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.139190,-108.941310,2006-04-05T00:00:00Z,2025-04-04T21:42:00Z,6939 days 21:42:00,19.00042208532968
WPSN5,WASHINGTON PASS,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.076500,-108.861500,2004-06-11T00:00:00Z,2025-04-04T21:41:00Z,7602 days 21:41:00,20.815615255913
SNLN5,SANDIA LAKES,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.229650,-106.590560,2004-03-11T00:00:00Z,2025-04-04T21:42:00Z,7694 days 21:42:00,21.06749942961442
GSCN5,BARTLEY,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.908720,-105.387810,2004-06-18T00:00:00Z,2025-04-04T22:04:00Z,7595 days 22:04:00,20.796494029964254
TS286,LINCOLN PORTABLE #2,NM,RAWS,Interagency Remote Automatic Weather Stations,2.0,32.964720,-105.477780,2004-08-20T00:00:00Z,2025-03-04T17:37:00Z,7501 days 17:37:00,20.538628412807057
STLN5,STONE LAKE,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.731610,-106.865810,2004-11-30T00:00:00Z,2025-04-04T21:33:00Z,7430 days 21:33:00,20.344689710244126
